worms_sciname,worms_aphiaid,rank,phylum,class,subclass,order,family,genus,year,countryCode,stateProvince,county,locality,decimalLatitude,decimalLongitude,depth,taxonRemarks,verbatim_obis,terrestrial_only
Syllis,129680,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Syllis,NA,NA,Alaska,Prince William Sound,Green Island,60.3,-147.4075,NA,NA,Syllis,0
Sthenelais berkeleyi,334860,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Sthenelais,1985,NA,NA,NA,Area B-The Shellground,53.5499992371,-131.330001831,29,NA,Sthenelais berkelyi,0
Pitar,138644,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Pitar,NA,NA,"NA","NA",Gulf of Panama,8.2496166667,-78.7621166667,NA,NA,Pitar,0
Phyllodoce longipes,130673,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,2003,NA,NA,NA,NA,33.9879989624,-120.379997253,95,NA,Phyllodoce longipes,0
Goniada maculata,130140,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Goniada,2003,NA,NA,NA,NA,32.6790008545,-117.165000916,5,NA,Goniada maculata,0
Decamastus gracilis,326885,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Decamastus,2003,NA,NA,NA,NA,47.9010009766,-124.964996338,106,NA,Decamastus gracilis,0
Odontosyllis maculata,330081,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Odontosyllis,NA,NA,Alaska,Kodiak Island,Akhiok Bay,56.946533,-154.12925,NA,NA,Odontosyllis maculata,0
Exogone dwisula,335873,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,2003,NA,NA,NA,NA,33.5069999695,-117.760002136,23,NA,Exogone dwisula,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,1999,NA,NA,NA,NA,48.1549987793,-123.161003113,2,NA,Leitoscoloplos pugettensis,0
Limecola balthica,880017,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Limecola,1997,NA,NA,NA,Fraser Island,53.6736488342,-132.371032715,0.1,NA,Macoma balthica,0
Goniada maculata,130140,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Goniada,2003,NA,NA,NA,NA,33.7239990234,-118.223999023,18,NA,Goniada maculata,0
Pholoe glabra,330542,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,2003,NA,NA,NA,NA,41.6370010376,-124.271003723,63,NA,Pholoe glabra,0
Nereis procera,329725,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Nereis,2003,NA,NA,NA,NA,33.6990013123,-118.304000854,25,NA,Nereis procera,0
Capitella,129211,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Capitella,1999,NA,NA,NA,NA,32.7270011902,-117.214996338,5,NA,Capitella capitata cmplx,0
Capitella capitata,129876,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Capitella,NA,NA,Alaska,Kodiak Island,Akhiok Bay,56.946533,-154.12925,NA,NA,Capitella capitata,0
Exogone (Parexogone) molesta,333450,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,NA,NA,NA,NA,Puget Sound,47.8439,-122.573,14,Originally identified as 'Exogone molesta',Exogone (Parexogone) molesta,0
Tenonia priops,334901,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Tenonia,1999,NA,NA,NA,NA,38,-122.900001526,30,NA,Tenonia priops,0
Nereis pelagica,130404,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Nereis,NA,NA,Alaska,Prince William Sound,Green Island,60.3,-147.4075,NA,NA,Nereis pelagica,0
Goniada brunnea,240564,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Goniada,2003,NA,NA,NA,NA,33.9780006409,-118.626998901,137,NA,Goniada brunnea,0
Capitella capitata,129876,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Capitella,NA,NA,NA,NA,San Francisco Bay,37.81073,-122.3477,12.2,Originally identified as 'Capitella capitata',Capitella capitata,0
Saxidomus gigantea,546014,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Saxidomus,1999,NA,NA,NA,NA,46.5600013733,-123.919998169,2.7,NA,Saxidomus giganteus,0
Nereis pelagica,130404,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Nereis,NA,NA,Alaska,Prince William Sound,Montague Island,60.381167,-147.113,NA,NA,Nereis pelagica,0
Syllis armillaris,131415,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Syllis,NA,NA,Alaska,Prince William Sound,Knight Island,60.484444,-147.728,NA,NA,Syllis armillaris,0
Pholoe,129439,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,NA,NA,NA,NA,Monterey Bay NMS,37.7101,-123.1351,135,Originally identified as 'Pholoe sp. N-1',Pholoe,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Cathedral Cove,34.016498999999996,-119.368385,6.9,NA,Laminaria,0
Saxidomus,367777,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Saxidomus,1960,NA,NA,NA,NA,53.3699989319,-131.580001831,23.7744,NA,Saxidomus,0
Platynereis bicanaliculata,334557,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Platynereis,NA,NA,Alaska,Prince William Sound,Montague Island,60.381167,-147.113,NA,NA,Platynereis bicanaliculata,0
Glycera capitata,130118,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Glycera,NA,NA,NA,NA,Puget Sound,47.51812,-122.4375,214,Originally identified as 'Glycera capitata',Glycera capitata,0
Macoma balthica,141579,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2002,NA,NA,NA,NA,46.5219993591,-123.927001953,NA,NA,Macoma balthica,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Landing Cove,34.017466999999996,-119.36239599999999,11.7,NA,Laminaria,0
