"","index","worms_sciname","min_lat","max_lat"
"130","130","Strigilla dichotoma",27.954268,34.4406
"131","131","Strigilla serrata",31.288333,31.288333
"132","132","Tampaella meropsis",28.791667,54.0800018311
"133","133","Tellidora burneti",25.58,31.352778
"134","134","Tellina nuculoides",33.4378,59.666667
"135","135","Tellinella cumingii",31.352778,31.352778
"136","136","Tivela byronensis",25.154722,37.733
"137","137","Tivela planulata",25.6491,31.3167
"138","138","Tivela stultorum",26.725,39.577384
"139","139","Transennella modesta",31.2,31.2
"140","140","Tresus allomyax",36.84683,50.673858
"141","141","Tresus capax",35.639437,59.483333
"142","142","Tresus nuttallii",30.420224,58
"143","143","Turtonia minuta",50.9,61.105833
"144","144","Waldo arthuri",48.8842,48.91753
